location,continent,Days,total_cases,total_cases_per_million,people_vaccinated,Total vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,Vaccinations performed as a percentage of population per day,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Panama,North America,46,"346,775","80,369",,"194,715",5.21,,93.52,"4,314,768",0.0981%,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,3513502.171
Paraguay,South America,4,"175,827","24,651","4,356","1,000",0.06,,94.44,"7,132,530",0.0035%,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,7780536.045
Peru,South America,4,"1,387,457","42,080","355,825","365,399",1.34,0.26,96.3,"32,971,846",0.2771%,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,5580340.687
Philippines,Asia,2,"607,048","5,540","114,500","2,792",0.1,,100,"109,581,085",0.0013%,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,13216165.09
Poland,Europe,69,"1,849,424","48,866","2,835,856","3,792,965",11.6,4.11,83.33,"37,846,605",0.1452%,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,8279744.141
Portugal,Europe,70,"812,575","79,690","772,343","1,039,941",10.58,3.01,87.96,"10,196,707",0.1457%,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,7317499.558
Qatar,Asia,58,"168,829","58,600","100,000","131,189",11.35,,86.11,"2,881,060",0.0785%,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,12255717.8
Romania,Europe,69,"845,352","43,943","1,296,161","1,732,964",10.24,3.5,87.04,"19,237,682",0.1306%,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,9045865.199
Russia,Europe,82,"4,311,893","29,547","5,366,009","6,382,519",4.98,1.31,87.04,"145,934,460",0.0533%,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8886096.375
Rwanda,Africa,19,"19,945","1,540","230,000","158,902",1.78,,90.74,"12,952,209",0.0646%,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,13228887.83
Saint Helena,Africa,1,,,,107,1.76,,,"6,071",1.7625%,,,,,,,,,,,,,80.56,,11237498.81
San Marino,Europe,7,"4,062","119,689","3,668","1,880",10.81,,92.59,"33,938",0.7914%,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,8467522.955
Saudi Arabia,Asia,59,"381,348","10,954",,"1,183,023",5.28,,94.44,"34,813,867",0.0576%,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,12089243.38
Senegal,Africa,12,"36,371","2,172","68,205","64,117",0.41,,77.78,"16,743,930",0.0319%,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,8276950.426
Serbia,Europe,58,"503,291","73,963","1,161,194","1,614,847",26.85,9.79,100,"6,804,596",0.4092%,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,8976467.097
Seychelles,Africa,55,"3,132","31,849","60,439","91,356",88.81,27.35,93.52,"98,340",1.6891%,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,15371402.66
Singapore,Asia,53,"60,070","10,268","392,620","535,628",10.45,3.74,76.85,"5,850,343",0.1727%,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,15289904.25
Slovakia,Europe,61,"331,571","60,731","388,584","522,789",10.93,3.82,87.04,"5,459,643",0.1570%,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,8549993.874
Slovenia,Europe,69,"198,234","95,354","154,916","203,538",10.76,3.31,89.81,"2,078,932",0.1419%,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,8466651.573
South Africa,Africa,12,"1,525,648","25,724","138,014","70,527",0.23,0.23,87.96,"59,308,690",0.0099%,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,14398743.72
South Korea,Asia,9,"94,686","1,847","546,277","279,467",1.07,,82.41,"51,269,183",0.0606%,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,10742654.67
Spain,Europe,60,"3,204,531","68,539","3,668,848","4,948,510",11.06,3.22,85.19,"46,754,783",0.1764%,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,7588925.1
