location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Iran,Asia,1723470,20519.221,10000,0.01,,80.09,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,11657902.49
Iraq,Asia,745642,18537.931,,,,96.3,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,11135866.45
Ireland,Europe,225179,45603.14,382528,10.87,3.12,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,6633133.57
"Isle of Man",Europe,,,19138,33.44,10.93,,85032,147.872,,,,,,,,,,,,81.4,,6818789.129
Israel,Asia,814250,94072.687,5110698,106.05,47,94.44,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,10860045.94
Italy,Europe,3149017,52082.729,4357997,10.29,3.08,93.52,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,8619068.151
Jamaica,"North America",28968,9782.649,,,,87.04,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2772361.985
Japan,Asia,443714,3508.273,180741,0.14,0,50.93,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,10150447.67
Jersey,Europe,,,36049,39.01,3.34,,101073,,,,,,,,,,,,,,,7217468.954
Jordan,Asia,457151,44804.933,50000,1.47,0.29,100,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,10981054.44
Kazakhstan,Asia,271363,14452.108,20157,0.12,0.01,92.13,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,10395995.71
Kenya,Africa,111185,2067.739,4000,0.01,,88.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,13721918.4
Kosovo,Europe,74708,38653.252,,,,92.59,1932774,168.155,,,,9795.834,0.6,,,,,,,,,9079345.525
Kuwait,Asia,205893,48212.144,322000,8.43,0.89,100,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,11694329.97
Kyrgyzstan,Asia,86755,13297.434,,,,92.13,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,11255389.59
Laos,Asia,48,6.597,,,,96.3,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,13401340.92
Latvia,Europe,92274,48920.529,72981,4.83,0.96,69.44,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,8165760.244
Lebanon,Asia,408909,59909.527,76883,1.35,0.22,92.59,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,10668985.03
Lesotho,Africa,10528,4914.455,,,,85.19,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,14817273.6
Liberia,Africa,2026,400.579,,,,87.96,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,9248242.086
Libya,Africa,142671,20763.359,,,,100,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,10078413.56
Liechtenstein,Europe,2596,68070.378,,8.2,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,8070144.428
Lithuania,Europe,203992,74933.944,241746,12.24,3.36,87.04,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,8265579.422
Luxembourg,Europe,57321,91570.603,36693,8.22,2.36,80.56,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,7694757.389
Macao,Asia,,,,0.31,,23.15,649342,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,12744458
Madagascar,Africa,20155,727.853,,,,95.37,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,15850790.62
Malawi,Africa,32673,1707.95,,,,64.81,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,14411492.38
Malaysia,Asia,319364,9867.269,223923,0.69,,80.09,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,15070494.47
Maldives,Asia,21268,39345.694,,34.58,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,15390723.7
Mali,Africa,8782,433.661,,,,72.22,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,8988467.231
Malta,Europe,25640,58069.616,72725,24.68,8.21,87.04,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,9163380.841
"Marshall Islands",Oceania,4,67.574,,,,,59194,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,9803506.905
Mauritania,Africa,17394,3740.919,,,,77.78,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,8172575.897
Mauritius,Africa,664,522.108,3843,0.3,,82.41,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,16830576.67
Mexico,"North America",2150955,16682.766,2882000,2.95,0.47,82.41,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,1632411.333
Micronesia,Oceania,1,8.694,,,,,115021,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,11554661.57
Moldova,Europe,200124,49609.776,8116,0.2,,87.04,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,9103055.903
Monaco,Europe,2075,52874.325,,6.12,,87.96,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,,8158434.137
Mongolia,Asia,3664,1117.655,,0.15,,90.74,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,10478635.12
Montenegro,Europe,82029,130606.532,3062,0.49,,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,8980436.402
Montserrat,"North America",,,652,13.04,,,4999,,,,,,,,,,,,,74.16,,3986712.653
Morocco,Africa,487750,13214.376,4130606,13.82,2.63,93.52,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,7837652.074
Mozambique,Africa,63645,2036.286,,,,80.56,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,14869788.54
Myanmar,Asia,142114,2611.919,103142,0.19,,86.11,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,13341043.25
Namibia,Africa,40631,15990.69,,,,73.15,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,13614283.34
Nepal,Asia,275070,9440.636,,1.38,,96.3,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,12733462.13
Netherlands,Europe,1154257,67363.032,1207904,9.45,2.4,82.41,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,7506098.102
"New Zealand",Oceania,2417,501.22,18000,0.37,,96.3,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,12550022.43
Nicaragua,"North America",6537,986.783,,,,24.07,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,2889442.094
Niger,Africa,4853,200.482,,,,61.11,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,10000294.44
Nigeria,Africa,159933,775.848,,,,85.65,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,10649162.65
"North America",,33707587,56931.548,,,,,592072204,,,,,,,,,,,,,,,NULL
"North Macedonia",Europe,110209,52899.135,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,9206206.422
"Northern Cyprus",,,,,2.88,,,,,,,,,,,,,,,,,,NULL
Norway,Europe,78041,14395.41,428995,12.17,4.26,79.63,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,7186814.578
Oceania,,33433,783.381,,,,,42677809,,,,,,,,,,,,,,,NULL
Oman,Asia,145257,28444.831,79149,1.92,0.37,100,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,12852654.52
Pakistan,Asia,600198,2717.152,72882,0.03,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,12353579.48
Palestine,Asia,203669,39924.013,,,,96.3,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,10802202.94
Panama,"North America",346775,80369.327,,5.21,,93.52,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,3513502.171
"Papua New Guinea",Oceania,1819,203.308,,,,83.8,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,13101167.29
Paraguay,"South America",175827,24651.421,4356,0.06,,94.44,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,7780536.045
Peru,"South America",1387457,42080.052,355825,1.34,0.26,96.3,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,5580340.687
Philippines,Asia,607048,5539.715,114500,0.1,,100,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,13216165.09
